datetime,temp,humidity,pressure,wind_speed,wind_deg,clouds,pm10,pm2_5,co,no2,so2,o3,nh3,aqi,unix_time,hour,day,month,weekday
2025-11-14 00:00:00+00:00,12.4,97.4042,1005.5,12.750811,71.053406,100.0,8.8,7.9,178.0,40.0,1.6,11.0,1.8,35.72916,1763078400000,0,14,11,4
2025-11-14 01:00:00+00:00,12.45,97.405205,1004.5,12.882267,74.60439,100.0,8.3,7.4,167.0,34.6,1.4,14.0,1.4,35.59027,1763082000000,1,14,11,4
2025-11-14 02:00:00+00:00,12.35,98.04677,1004.1,13.954354,83.333435,100.0,7.4,5.9,168.0,27.1,1.5,16.0,0.9,35.36458,1763085600000,2,14,11,4
2025-11-14 03:00:00+00:00,12.4,98.04752,1003.3,13.184308,85.30141,100.0,7.9,5.7,163.0,27.7,1.4,17.0,0.5,35.034718,1763089200000,3,14,11,4
2025-11-14 04:00:00+00:00,12.55,98.04978,1002.4,12.304682,84.1227,100.0,8.3,5.9,191.0,30.0,1.6,11.0,0.4,34.861103,1763092800000,4,14,11,4
2025-11-14 05:00:00+00:00,12.55,97.72802,1002.2,10.441552,90.98774,100.0,9.2,7.3,190.0,34.6,1.9,10.0,0.4,34.79166,1763096400000,5,14,11,4
2025-11-14 06:00:00+00:00,12.35,98.04677,1001.8,9.114471,80.909805,100.0,11.7,9.2,195.0,39.1,2.2,6.0,0.9,35.10416,1763100000000,6,14,11,4
2025-11-14 07:00:00+00:00,12.5,97.406204,1001.7,8.707238,82.875084,100.0,14.1,11.6,212.0,41.1,2.7,2.0,2.4,35.798607,1763103600000,7,14,11,4
2025-11-14 08:00:00+00:00,12.55,97.4072,1001.8,8.656858,86.423744,100.0,15.4,12.7,262.0,45.7,3.7,1.0,4.0,36.82291,1763107200000,8,14,11,4
2025-11-14 09:00:00+00:00,13.05,96.14797,1001.7,8.6867485,84.05324,100.0,17.6,14.3,288.0,48.2,4.6,1.0,4.6,37.968742,1763110800000,9,14,11,4
2025-11-14 10:00:00+00:00,13.3,96.786934,1001.5,8.171683,82.40546,100.0,17.1,13.8,290.0,48.4,4.4,3.0,4.6,39.357635,1763114400000,10,14,11,4
2025-11-14 11:00:00+00:00,13.3,96.47068,1001.0,9.779817,83.659904,100.0,15.2,11.1,253.0,47.9,3.7,8.0,3.9,40.642357,1763118000000,11,14,11,4
2025-11-14 12:00:00+00:00,13.15,96.78323,1000.7,8.996398,70.114746,100.0,13.7,10.0,224.0,44.9,2.8,12.0,3.4,41.475693,1763121600000,12,14,11,4
2025-11-14 13:00:00+00:00,13.95,96.48822,1000.0,9.19939,59.420856,100.0,14.5,8.8,194.0,38.7,2.3,19.0,3.1,42.20486,1763125200000,13,14,11,4
2025-11-14 14:00:00+00:00,14.0,96.489555,999.4,8.996398,70.114746,100.0,12.5,7.9,174.0,34.4,2.1,23.0,3.0,42.65625,1763128800000,14,14,11,4
2025-11-14 15:00:00+00:00,14.3,95.25104,999.2,10.873252,83.34567,100.0,12.3,7.5,170.0,34.9,1.7,27.0,2.6,42.864586,1763132400000,15,14,11,4
2025-11-14 16:00:00+00:00,14.0,95.551186,999.2,10.464798,93.945114,99.0,13.5,8.5,181.0,41.3,1.8,25.0,3.1,42.82986,1763136000000,16,14,11,4
2025-11-14 17:00:00+00:00,13.8,95.23296,999.6,8.477216,86.347855,100.0,16.4,10.1,203.0,48.5,2.1,14.0,3.8,42.82986,1763139600000,17,14,11,4
2025-11-14 18:00:00+00:00,14.1,92.18473,999.5,8.649369,102.01146,44.0,15.7,11.1,221.0,50.6,2.6,5.0,3.5,42.708336,1763143200000,18,14,11,4
2025-11-14 19:00:00+00:00,13.15,92.43292,1000.7,2.7059932,183.814,43.0,15.5,11.2,220.0,49.3,2.9,3.0,2.8,42.204865,1763146800000,19,14,11,4
2025-11-14 20:00:00+00:00,12.4,93.62178,1001.0,3.0652893,49.76371,29.0,13.8,10.6,197.0,47.9,3.2,5.0,2.5,41.59722,1763150400000,20,14,11,4
2025-11-14 21:00:00+00:00,12.1,94.229866,1001.9,3.244996,109.440125,56.0,13.3,9.9,183.0,49.2,3.8,8.0,3.9,40.8507,1763154000000,21,14,11,4
2025-11-14 22:00:00+00:00,12.15,94.54465,1002.7,3.1845248,137.29063,56.0,12.2,8.9,179.0,46.3,4.0,14.0,5.0,40.138893,1763157600000,22,14,11,4
2025-11-14 23:00:00+00:00,12.2,94.54674,1003.2,5.068846,163.49556,71.0,12.0,8.5,178.0,45.1,4.0,13.0,4.8,39.444447,1763161200000,23,14,11,4
2025-11-15 00:00:00+00:00,12.4,94.55504,1004.0,7.8954163,226.8476,61.0,12.2,7.7,172.0,39.9,2.4,20.0,4.4,39.20139,1763164800000,0,15,11,5
2025-11-15 01:00:00+00:00,12.05,95.4844,1004.6,6.156947,217.87505,85.0,10.4,6.8,170.0,34.9,1.8,29.0,2.2,39.166668,1763168400000,1,15,11,5
2025-11-15 02:00:00+00:00,11.85,96.43109,1005.0,5.293959,215.3113,31.0,10.1,6.4,163.0,29.4,1.5,25.0,1.8,39.062504,1763172000000,2,15,11,5
2025-11-15 03:00:00+00:00,11.4,96.41868,1005.2,1.2979984,123.690094,86.0,9.8,6.4,157.0,31.9,1.6,18.0,1.3,39.149307,1763175600000,3,15,11,5
2025-11-15 04:00:00+00:00,11.1,97.702324,1005.4,0.35999998,90.0,100.0,10.8,6.1,155.0,31.6,1.8,18.0,1.0,39.270832,1763179200000,4,15,11,5
2025-11-15 05:00:00+00:00,10.65,98.67662,1006.0,0.6489992,123.690094,100.0,11.2,6.4,160.0,34.0,2.2,12.0,0.8,39.305557,1763182800000,5,15,11,5
2025-11-15 06:00:00+00:00,10.35,100.0,1006.8,2.8174455,63.435013,100.0,12.5,7.5,166.0,36.9,3.1,8.0,1.3,39.149303,1763186400000,6,15,11,5
2025-11-15 07:00:00+00:00,10.7,99.00641,1007.5,6.0347,72.64589,100.0,14.4,8.7,166.0,39.6,4.0,6.0,2.2,38.854168,1763190000000,7,15,11,5
2025-11-15 08:00:00+00:00,11.2,99.01029,1008.1,5.815978,68.19853,100.0,15.1,8.4,220.0,45.4,4.4,6.0,3.4,38.35069,1763193600000,8,15,11,5
2025-11-15 09:00:00+00:00,11.8,97.71478,1008.2,5.728979,46.27295,100.0,13.1,8.7,185.0,43.2,3.4,22.0,2.7,37.60416,1763197200000,9,15,11,5
2025-11-15 10:00:00+00:00,12.3,96.44346,1008.5,4.5820518,44.999897,100.0,12.2,8.4,172.0,34.0,2.6,41.0,2.3,36.63194,1763200800000,10,15,11,5
2025-11-15 11:00:00+00:00,12.95,94.267075,1008.9,5.004518,37.694313,100.0,12.1,7.9,179.0,40.0,2.5,32.0,2.3,35.694443,1763204400000,11,15,11,5
2025-11-15 12:00:00+00:00,12.95,89.712875,1008.8,8.320986,38.853382,100.0,11.4,7.7,174.0,34.4,2.3,44.0,2.0,35.13888,1763208000000,12,15,11,5
2025-11-15 13:00:00+00:00,13.1,86.8,1008.6,7.256032,29.744795,100.0,11.9,8.5,182.0,36.8,2.2,38.0,2.6,34.73958,1763211600000,13,15,11,5
2025-11-15 14:00:00+00:00,13.2,85.380196,1008.2,7.8583965,20.095322,87.0,12.8,8.6,193.0,35.3,2.2,30.0,2.8,34.687496,1763215200000,14,15,11,5
2025-11-15 15:00:00+00:00,13.0,88.24284,1008.3,7.889259,27.149609,100.0,13.7,9.0,197.0,37.9,2.6,23.0,3.2,34.809025,1763218800000,15,15,11,5
2025-11-15 16:00:00+00:00,12.45,90.87392,1008.6,8.2584505,16.46009,100.0,17.2,10.1,215.0,52.2,3.1,13.0,4.4,35.069443,1763222400000,16,15,11,5
2025-11-15 17:00:00+00:00,12.1,91.45644,1008.9,9.227524,20.556128,100.0,18.4,12.6,233.0,52.2,2.7,6.0,4.4,35.34722,1763226000000,17,15,11,5
2025-11-15 18:00:00+00:00,11.85,92.05148,1009.5,7.5685663,25.346138,100.0,13.7,10.4,248.0,41.4,2.4,5.0,3.5,35.781254,1763229600000,18,15,11,5
2025-11-15 19:00:00+00:00,11.55,92.34105,1009.5,8.827344,20.282646,100.0,11.4,9.1,215.0,34.5,2.3,10.0,2.4,35.65972,1763233200000,19,15,11,5
2025-11-15 20:00:00+00:00,11.25,92.01538,1009.4,9.82114,26.09537,100.0,10.5,8.3,195.0,32.3,1.8,15.0,2.1,35.29514,1763236800000,20,15,11,5
2025-11-15 21:00:00+00:00,11.05,91.38863,1009.5,9.693296,31.328646,100.0,9.7,7.6,187.0,29.5,1.8,20.0,1.4,34.895836,1763240400000,21,15,11,5
2025-11-15 22:00:00+00:00,10.8,91.372375,1009.3,10.070353,24.27444,100.0,9.3,6.9,179.0,29.0,1.8,25.0,1.6,34.496532,1763244000000,22,15,11,5
2025-11-15 23:00:00+00:00,10.55,91.97296,1009.4,10.8672905,26.564985,100.0,8.9,6.4,172.0,25.9,1.7,30.0,1.4,34.14931,1763247600000,23,15,11,5
2025-11-16 00:00:00+00:00,10.4,91.34627,1009.7,9.354806,30.018288,100.0,8.1,6.0,157.0,15.9,1.2,36.0,1.0,33.78472,1763251200000,0,16,11,6
2025-11-16 01:00:00+00:00,10.2,91.02532,1009.7,9.085988,33.6901,100.0,7.2,5.1,154.0,15.4,0.7,39.0,0.9,33.489582,1763254800000,1,16,11,6
2025-11-16 02:00:00+00:00,10.1,90.71138,1009.6,9.446141,30.963696,100.0,6.4,4.4,153.0,11.7,0.7,41.0,0.8,33.194443,1763258400000,2,16,11,6
2025-11-16 03:00:00+00:00,9.95,90.70087,1009.5,10.285232,32.85573,100.0,6.4,4.2,146.0,10.8,0.8,43.0,0.7,32.84722,1763262000000,3,16,11,6
2025-11-16 04:00:00+00:00,9.85,91.31017,1009.8,10.63372,33.959103,100.0,6.6,4.0,142.0,9.1,0.8,44.0,0.6,32.465275,1763265600000,4,16,11,6
2025-11-16 05:00:00+00:00,9.8,90.69033,1009.7,12.241323,36.027473,100.0,6.5,3.7,143.0,8.2,0.9,47.0,0.5,32.100693,1763269200000,5,16,11,6
2025-11-16 06:00:00+00:00,9.55,91.29039,1010.0,12.535549,32.092564,100.0,6.8,3.6,141.0,8.0,1.0,46.0,0.7,31.63194,1763272800000,6,16,11,6
2025-11-16 07:00:00+00:00,9.4,90.66215,1010.3,12.936228,31.920837,100.0,8.1,4.8,144.0,11.4,1.2,44.0,1.1,30.954859,1763276400000,7,16,11,6
2025-11-16 08:00:00+00:00,9.5,89.44448,1010.9,12.4811535,33.231728,100.0,9.0,4.7,155.0,13.2,1.5,45.0,1.6,30.277777,1763280000000,8,16,11,6
2025-11-16 09:00:00+00:00,9.55,86.74705,1011.4,12.88981,35.909817,100.0,9.7,4.2,154.0,14.2,1.6,45.0,1.7,29.635414,1763283600000,9,16,11,6
2025-11-16 10:00:00+00:00,9.55,86.15661,1011.4,10.484903,34.50859,100.0,9.3,3.7,155.0,11.6,1.4,52.0,1.7,28.854164,1763287200000,10,16,11,6
2025-11-16 11:00:00+00:00,9.8,83.85959,1011.5,12.440851,31.390213,100.0,8.2,3.7,154.0,11.6,1.2,54.0,1.8,28.038195,1763290800000,11,16,11,6
2025-11-16 12:00:00+00:00,9.85,78.57131,1011.9,10.99769,21.10492,100.0,7.3,3.3,153.0,11.0,1.1,58.0,1.7,27.309027,1763294400000,12,16,11,6
2025-11-16 13:00:00+00:00,9.75,76.68038,1012.0,11.555102,18.152803,100.0,6.9,3.2,155.0,11.2,1.0,63.0,1.7,26.545137,1763298000000,13,16,11,6
2025-11-16 14:00:00+00:00,9.7,73.2924,1012.0,12.410866,19.48622,100.0,6.6,3.2,157.0,12.6,1.0,63.0,1.8,25.625,1763301600000,14,16,11,6
